"項目","単位","1980_","1981_","1982_","1983_","1984_59","1985_","1986_","1987_","1988_","1989_1","1990_","1991_","1992_","1993_","1994_6","1995_","1996_","1997_","1998_","1999_11","2000_","2001_","2002_","2003_","2004_16","2005_","2006_","2007_","2008_","2009_","有効数字(少数桁)"
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教養娯楽_教養娯楽サービス","円","","","","","347.0","","","","","330.0","","","","","434.0","","","","","322.0","","","","","221.0","","","","","159.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教養娯楽_教養娯楽サービス_宿泊料","円","","","","","2477.0","","","","","4129.0","","","","","5548.0","","","","","4758.0","","","","","4589.0","","","","","3630.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教養娯楽_教養娯楽サービス_パック旅行費","円","","","","","22064.0","","","","","22309.0","","","","","27205.0","","","","","27529.0","","","","","28324.0","","","","","26854.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教養娯楽_教養娯楽サービス_月謝類","円","","","","","1627.0","","","","","1661.0","","","","","1767.0","","","","","2887.0","","","","","2895.0","","","","","3381.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教養娯楽_教養娯楽サービス_他の教養娯楽サービス","円","","","","","4500.0","","","","","5171.0","","","","","6441.0","","","","","7447.0","","","","","6321.0","","","","","5468.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_教養娯楽_教養娯楽サービス__（特掲）インターネット接続料","円","","","","","3589.0","","","","","4073.0","","","","","4893.0","","","","","4593.0","","","","","4562.0","","","","","4021.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出","円","","","","","12349.0","","","","","11404.0","","","","","14105.0","","","","","12601.0","","","","","14546.0","","","","","13983.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_諸雑費","円","","","","","245.0","","","","","736.0","","","","","475.0","","","","","732.0","","","","","974.0","","","","","1103.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_諸雑費_理美容サービス","円","","","","","3463.0","","","","","2742.0","","","","","2723.0","","","","","2906.0","","","","","2213.0","","","","","2195.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_諸雑費_理美容用品","円","","","","","4561.0","","","","","4169.0","","","","","5078.0","","","","","3954.0","","","","","4239.0","","","","","2651.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_諸雑費_身の回り用品","円","","","","","4081.0","","","","","3757.0","","","","","368.0","","","","","5009.0","","","","","7120.0","","","","","8034.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_諸雑費_たばこ","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1902.0","","","","","2903.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_諸雑費_その他の諸雑費","円","","","","","66317.0","","","","","82180.0","","","","","79647.0","","","","","87938.0","","","","","76609.0","","","","","64636.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_こづかい(使途不明)","円","","","","","12591.0","","","","","17517.0","","","","","15607.0","","","","","18893.0","","","","","17226.0","","","","","18990.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_交際費","円","","","","","2607.0","","","","","2403.0","","","","","2757.0","","","","","2580.0","","","","","2323.0","","","","","2345.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_交際費_贈与金","円","","","","","3720.0","","","","","3174.0","","","","","3601.0","","","","","4158.0","","","","","3802.0","","","","","3912.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_交際費_他の交際費","円","","","","","1148.0","","","","","1529.0","","","","","1531.0","","","","","2302.0","","","","","1133.0","","","","","1484.0",""
"二人以上(勤労者世帯)_支出総額_実支出_消費支出_その他の消費支出_仕送り金","円","","","","","1568.0","","","","","2128.0","","","","","1157.0","","","","","1422.0","","","","","1066.0","","","","","947.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)移転支出","円","","","","","3549.0","","","","","8284.0","","","","","6560.0","","","","","8431.0","","","","","8902.0","","","","","10302.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教育関係費","円","","","","","24698.0","","","","","30406.0","","","","","30680.0","","","","","26310.0","","","","","25177.0","","","","","21781.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教養娯楽関係費","円","","","","","16341.0","","","","","19516.0","","","","","20687.0","","","","","19415.0","","","","","21034.0","","","","","17493.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教養娯楽関係費__耐久財","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","3279.0","","","","","3281.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教養娯楽関係費__読書","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1032.0","","","","","180.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教養娯楽関係費__聴視･観覧","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","503.0","","","","","689.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教養娯楽関係費__旅行","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","549.0","","","","","781.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教養娯楽関係費__スポーツ","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","213.0","","","","","567.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教養娯楽関係費__月謝","円","","","","","11980.0","","","","","15238.0","","","","","16440.0","","","","","14617.0","","","","","10335.0","","","","","7806.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教養娯楽関係費__会費･つきあい費","円","","","","","4360.0","","","","","4278.0","","","","","4247.0","","","","","4798.0","","","","","5124.0","","","","","4189.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教養娯楽関係費__他の教養娯楽","円","","","","","12688.0","","","","","14742.0","","","","","12674.0","","","","","23320.0","","","","","18748.0","","","","","11870.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)教養娯楽関係費__[耐久財を除く教養娯楽関係費]","円","","","","","－","","","","","29980.0","","","","","29113.0","","","","","37938.0","","","","","29082.0","","","","","19676.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)情報通信関係費","円","","","","","25737.0","","","","","34598.0","","","","","33996.0","","","","","43169.0","","","","","43149.0","","","","","28837.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出","円","","","","","23861.0","","","","","24605.0","","","","","29489.0","","","","","30497.0","","","","","28985.0","","","","","29576.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2636.0","","","","","3339.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出_直接税","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","4562.0","","","","","4021.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出_直接税_勤労所得税","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2302.0","","","","","2213.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出_直接税_個人住民税","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","4636.0","","","","","4709.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出_直接税_他の税","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1974.0","","","","","1817.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出_社会保険料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","3914.0","","","","","2576.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出_社会保険料_公的年金保険料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","2392.0","","","","","2182.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出_社会保険料_健康保険料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","6569.0","","","","","8719.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出_社会保険料_介護保険料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","26349.0","","","","","26237.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出_社会保険料_他の社会保険料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","15616.0","","","","","19070.0",""
"二人以上(勤労者世帯)_支出総額_(再掲)経常消費支出_非消費支出_他の非消費支出","円","","","","","－","","","","","239978.0","","","","","261907.0","","","","","269993.0","","","","","254629.0","","","","","246018.0",""
"二人以上(勤労者世帯)_支出総額_実支出以外の支出","円","","","","","54234.0","","","","","66239.0","","","","","81699.0","","","","","83683.0","","","","","74078.0","","","","","69780.0",""
"二人以上(勤労者世帯)_支出総額_実支出以外の支出_預貯金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","26317.0","","","","","25800.0",""
"二人以上(勤労者世帯)_支出総額_実支出以外の支出_保険掛金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","12736.0","","","","","7030.0",""
"二人以上(勤労者世帯)_支出総額_実支出以外の支出_保険掛金_個人・企業年金保険掛金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","11648.0","","","","","16974.0",""
"二人以上(勤労者世帯)_支出総額_実支出以外の支出_保険掛金_他の保険掛金","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1933.0","","","","","1796.0",""
"二人以上(勤労者世帯)_支出総額_実支出以外の支出_有価証券購入","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","47750.0","","","","","43922.0",""
